epoch,step,batches,lr,ms/batch,loss,avg_loss,ppl
1,100,100,4e-05,544.24,4.08,5.55,256.71
1,200,200,8e-05,540.34,3.46,4.11,60.97
1,300,300,0.00012,541.75,4.41,3.38,29.49
1,400,400,0.00016,541.24,4.07,3.32,27.70
1,500,500,0.0002,541.36,3.28,3.20,24.45
1,600,600,0.000197,541.94,3.40,3.17,23.84
1,700,700,0.000193,541.33,3.51,3.15,23.25
1,800,800,0.00019,542.38,3.34,3.17,23.89
1,900,900,0.000186,541.74,3.98,3.12,22.69
1,1000,1000,0.000183,543.21,3.29,3.09,21.95
1,1100,1100,0.000179,924.94,2.69,3.08,21.68
1,1200,1200,0.000176,543.00,3.32,3.07,21.62
2,1300,50,0.000172,269.65,3.59,3.11,22.40
2,1400,150,0.000169,541.78,2.99,3.06,21.23
2,1500,250,0.000165,541.79,3.04,3.09,21.93
2,1600,350,0.000162,541.07,3.09,3.03,20.60
2,1700,450,0.000158,541.73,2.56,2.96,19.39
2,1800,550,0.000155,541.40,2.76,2.94,18.89
2,1900,650,0.000151,541.11,3.26,2.95,19.09
2,2000,750,0.000148,541.78,2.89,2.99,19.90
2,2100,850,0.000144,923.40,2.66,2.91,18.27
2,2200,950,0.000141,542.77,2.45,3.00,20.14
2,2300,1050,0.000137,542.39,2.32,2.95,19.19
2,2400,1150,0.000134,543.19,3.72,2.89,17.96
2,2500,1250,0.00013,543.33,2.73,2.96,19.35
3,2600,100,0.000127,539.46,2.54,2.92,18.49
3,2700,200,0.000123,544.32,2.95,3.01,20.39
3,2800,300,0.00012,544.07,3.92,2.89,17.95
3,2900,400,0.000117,544.39,3.76,2.91,18.42
3,3000,500,0.000113,543.60,2.85,2.84,17.14
3,3100,600,0.00011,925.48,3.10,2.85,17.34
3,3200,700,0.000106,543.95,3.19,2.83,17.00
3,3300,800,0.000103,544.39,3.17,2.87,17.57
3,3400,900,9.91e-05,542.24,3.60,2.85,17.28
3,3500,1000,9.57e-05,542.85,2.94,2.83,16.95
3,3600,1100,9.22e-05,542.79,2.55,2.85,17.23
3,3700,1200,8.87e-05,543.29,3.12,2.84,17.04
4,3800,50,8.52e-05,267.70,3.36,2.88,17.90
4,3900,150,8.17e-05,540.94,2.85,2.85,17.31
4,4000,250,7.83e-05,540.81,2.85,2.88,17.88
4,4100,350,7.48e-05,915.81,2.84,2.83,17.02
4,4200,450,7.13e-05,540.88,2.30,2.78,16.07
4,4300,550,6.78e-05,542.46,2.64,2.77,15.90
4,4400,650,6.43e-05,540.84,2.97,2.77,15.91
4,4500,750,6.09e-05,543.57,2.70,2.80,16.48
4,4600,850,5.74e-05,543.82,2.56,2.74,15.52
4,4700,950,5.39e-05,543.16,2.27,2.83,16.93
4,4800,1050,5.04e-05,542.67,2.20,2.79,16.30
4,4900,1150,4.7e-05,542.55,3.55,2.75,15.57
4,5000,1250,4.35e-05,542.70,2.61,2.81,16.57
5,5100,100,4e-05,539.66,2.47,2.77,16.02
5,5200,200,3.65e-05,542.26,2.67,2.88,17.77
5,5300,300,3.3e-05,542.73,3.75,2.75,15.70
5,5400,400,2.96e-05,542.66,3.61,2.77,15.95
5,5500,500,2.61e-05,544.34,2.67,2.72,15.11
5,5600,600,2.26e-05,543.44,2.99,2.73,15.28
5,5700,700,1.91e-05,542.87,3.11,2.72,15.17
5,5800,800,1.57e-05,544.12,3.05,2.74,15.50
5,5900,900,1.22e-05,545.76,3.43,2.74,15.46
5,6000,1000,8.7e-06,544.27,2.78,2.71,15.07
5,6100,1100,5.22e-06,926.21,2.52,2.74,15.51
5,6200,1200,1.74e-06,542.82,3.01,2.74,15.51
