epoch,step,batches,lr,ms/batch,loss,avg_loss,ppl
1,100,100,4e-05,367.19,6.10,5.55,258.32
1,200,200,8e-05,365.52,3.47,4.20,66.86
1,300,300,0.00012,367.16,3.30,3.34,28.34
1,400,400,0.00016,367.94,3.64,3.24,25.62
1,500,500,0.0002,368.88,3.59,3.21,24.80
1,600,600,0.000197,368.69,2.68,3.10,22.18
1,700,700,0.000193,368.62,3.47,3.12,22.59
1,800,800,0.00019,368.94,3.22,3.16,23.64
1,900,900,0.000186,368.46,3.73,3.06,21.39
1,1000,1000,0.000183,369.45,2.74,3.12,22.68
1,1100,1100,0.000179,619.01,3.72,3.00,20.05
1,1200,1200,0.000176,368.44,2.83,3.07,21.64
2,1300,50,0.000172,184.38,3.22,2.95,19.15
2,1400,150,0.000169,368.07,2.69,2.97,19.58
2,1500,250,0.000165,368.80,2.66,2.98,19.77
2,1600,350,0.000162,368.45,3.15,2.98,19.62
2,1700,450,0.000158,368.67,3.28,2.97,19.47
2,1800,550,0.000155,367.86,2.69,2.91,18.42
2,1900,650,0.000151,368.04,2.81,3.00,20.12
2,2000,750,0.000148,368.19,3.32,2.92,18.61
2,2100,850,0.000144,618.92,2.80,2.95,19.12
2,2200,950,0.000141,368.70,2.62,2.88,17.77
2,2300,1050,0.000137,369.20,3.09,2.94,18.83
2,2400,1150,0.000134,368.82,2.88,2.91,18.39
2,2500,1250,0.00013,371.99,3.33,2.96,19.28
3,2600,100,0.000127,370.57,2.81,2.87,17.55
3,2700,200,0.000123,369.62,3.01,2.84,17.12
3,2800,300,0.00012,371.16,2.77,2.83,16.89
3,2900,400,0.000117,370.52,2.96,2.84,17.09
3,3000,500,0.000113,370.78,2.60,2.80,16.40
3,3100,600,0.00011,619.32,2.75,2.87,17.64
3,3200,700,0.000106,370.31,3.59,2.89,18.00
3,3300,800,0.000103,370.57,3.25,2.83,16.94
3,3400,900,9.91e-05,369.57,2.63,2.82,16.78
3,3500,1000,9.57e-05,367.90,2.80,2.82,16.83
3,3600,1100,9.22e-05,368.24,3.41,2.90,18.26
3,3700,1200,8.87e-05,368.14,2.52,2.81,16.65
4,3800,50,8.52e-05,184.43,2.77,2.73,15.38
4,3900,150,8.17e-05,369.32,2.58,2.79,16.32
4,4000,250,7.83e-05,369.00,2.27,2.78,16.04
4,4100,350,7.48e-05,618.93,3.35,2.79,16.21
4,4200,450,7.13e-05,368.93,2.99,2.78,16.11
4,4300,550,6.78e-05,369.69,2.83,2.80,16.45
4,4400,650,6.43e-05,370.35,2.73,2.79,16.35
4,4500,750,6.09e-05,369.84,2.35,2.76,15.86
4,4600,850,5.74e-05,371.03,2.66,2.74,15.48
4,4700,950,5.39e-05,370.62,3.48,2.74,15.50
4,4800,1050,5.04e-05,369.08,2.48,2.74,15.48
4,4900,1150,4.7e-05,370.40,2.58,2.78,16.12
4,5000,1250,4.35e-05,368.16,2.97,2.79,16.25
5,5100,100,4e-05,368.61,2.41,2.72,15.13
5,5200,200,3.65e-05,370.24,2.29,2.72,15.11
5,5300,300,3.3e-05,369.96,2.44,2.71,15.06
5,5400,400,2.96e-05,369.91,2.49,2.73,15.35
5,5500,500,2.61e-05,369.92,2.86,2.78,16.19
5,5600,600,2.26e-05,369.07,2.53,2.79,16.23
5,5700,700,1.91e-05,369.12,2.86,2.68,14.58
5,5800,800,1.57e-05,370.42,2.38,2.71,15.05
5,5900,900,1.22e-05,369.84,2.89,2.74,15.50
5,6000,1000,8.7e-06,369.30,2.43,2.65,14.19
5,6100,1100,5.22e-06,617.71,2.51,2.67,14.50
5,6200,1200,1.74e-06,367.68,2.20,2.72,15.24
