epoch,step,batches,lr,ms/batch,loss,avg_loss,ppl
1,100,100,4e-05,368.61,6.20,5.35,210.03
1,200,200,8e-05,366.87,2.88,3.52,33.73
1,300,300,0.00012,365.59,2.29,2.59,13.28
1,400,400,0.00016,367.64,2.42,2.35,10.51
1,500,500,0.0002,367.87,2.08,2.26,9.59
2,600,100,0.00019,369.22,2.07,2.19,8.90
2,700,200,0.00018,368.85,2.05,2.17,8.75
2,800,300,0.00017,369.37,2.10,2.12,8.35
2,900,400,0.00016,369.06,2.31,2.11,8.27
2,1000,500,0.00015,369.78,2.02,2.15,8.54
3,1100,100,0.00014,370.20,2.06,2.04,7.72
3,1200,200,0.00013,369.75,1.95,2.04,7.68
3,1300,300,0.00012,368.60,1.93,2.06,7.83
3,1400,400,0.00011,368.20,2.21,2.04,7.70
3,1500,500,0.0001,367.33,1.90,2.02,7.50
4,1600,100,9e-05,367.95,1.86,2.00,7.40
4,1700,200,8e-05,367.22,1.97,1.99,7.28
4,1800,300,7e-05,369.01,1.91,1.99,7.29
4,1900,400,6e-05,369.32,1.88,1.99,7.31
4,2000,500,5e-05,368.78,1.98,1.96,7.08
5,2100,100,4e-05,369.48,1.74,1.97,7.16
5,2200,200,3e-05,368.88,2.02,1.95,7.01
5,2300,300,2e-05,369.19,1.82,1.93,6.88
5,2400,400,1e-05,368.30,1.99,1.94,6.97
5,2500,500,0,370.37,2.54,1.94,6.93
