epoch,step,batches,lr,ms/batch,loss,avg_loss,ppl
1,100,100,4e-05,544.36,4.56,5.60,270.78
1,200,200,8e-05,541.69,3.26,3.80,44.50
1,300,300,0.00012,542.20,2.94,3.16,23.64
1,400,400,0.00016,542.96,2.51,2.97,19.58
1,500,500,0.0002,543.07,3.73,2.93,18.68
1,600,600,0.000196,544.30,2.74,2.88,17.80
1,700,700,0.000191,542.84,3.09,2.87,17.68
1,800,800,0.000187,543.30,2.95,2.84,17.18
1,900,900,0.000182,543.63,3.29,2.88,17.74
1,1000,1000,0.000178,543.98,2.82,2.77,15.97
2,1100,100,0.000173,538.89,2.72,2.79,16.22
2,1200,200,0.000169,541.62,2.86,2.78,16.10
2,1300,300,0.000164,542.34,2.58,2.79,16.29
2,1400,400,0.00016,541.46,2.32,2.72,15.22
2,1500,500,0.000156,541.74,3.49,2.74,15.42
2,1600,600,0.000151,542.29,2.61,2.71,14.98
2,1700,700,0.000147,541.13,2.97,2.73,15.30
2,1800,800,0.000142,541.91,2.75,2.72,15.20
2,1900,900,0.000138,542.42,3.18,2.76,15.77
2,2000,1000,0.000133,543.08,2.70,2.67,14.42
3,2100,100,0.000129,540.38,2.63,2.69,14.74
3,2200,200,0.000124,543.09,2.77,2.69,14.71
3,2300,300,0.00012,542.09,2.50,2.71,15.04
3,2400,400,0.000116,542.32,2.27,2.65,14.12
3,2500,500,0.000111,542.65,3.34,2.67,14.47
3,2600,600,0.000107,542.79,2.56,2.64,14.06
3,2700,700,0.000102,542.36,2.91,2.67,14.43
3,2800,800,9.78e-05,542.78,2.63,2.66,14.35
3,2900,900,9.33e-05,542.93,3.12,2.70,14.93
3,3000,1000,8.89e-05,542.24,2.63,2.62,13.68
4,3100,100,8.44e-05,540.05,2.58,2.64,14.07
4,3200,200,8e-05,542.77,2.70,2.64,13.96
4,3300,300,7.56e-05,543.07,2.47,2.66,14.33
4,3400,400,7.11e-05,543.46,2.23,2.60,13.49
4,3500,500,6.67e-05,543.06,3.26,2.63,13.88
4,3600,600,6.22e-05,543.27,2.55,2.60,13.49
4,3700,700,5.78e-05,541.77,2.87,2.63,13.86
4,3800,800,5.33e-05,541.64,2.57,2.63,13.82
4,3900,900,4.89e-05,541.88,3.07,2.66,14.36
4,4000,1000,4.44e-05,541.91,2.58,2.58,13.17
5,4100,100,4e-05,539.02,2.57,2.61,13.57
5,4200,200,3.56e-05,542.49,2.68,2.60,13.47
5,4300,300,3.11e-05,542.02,2.45,2.63,13.82
5,4400,400,2.67e-05,542.05,2.21,2.57,13.05
5,4500,500,2.22e-05,542.45,3.20,2.60,13.46
5,4600,600,1.78e-05,542.80,2.52,2.57,13.07
5,4700,700,1.33e-05,543.07,2.87,2.60,13.50
5,4800,800,8.89e-06,543.49,2.54,2.60,13.45
5,4900,900,4.44e-06,542.32,3.03,2.64,13.97
5,5000,1000,0,542.69,2.54,2.55,12.82
